544;14BIS;Correa;SEVILLA FC;BASE;Nuevos IV
551;1;Cuéllar;SPORTING;BASE;Nuevos I
552;2;Mariño;SPORTING;BASE;Nuevos II
553;3;Lora;SPORTING;BASE;Nuevos I
554;4;Vranjes;SPORTING;BASE;Nuevos I
555;5;Meré;SPORTING;BASE;Nuevos I
556;6;Amorebieta;SPORTING;BASE;Nuevos II
557;7A;Lillo;SPORTING;BASE;Nuevos III
558;7B;Canella;SPORTING;BASE;Nuevos I
559;8;Isma López;SPORTING;BASE;Nuevos I
560;9;Sergio Álvarez;SPORTING;BASE;Nuevos I
561;10;Nacho Cases;SPORTING;BASE;Nuevos I
562;11;Moi Gómez;SPORTING;BASE;Nuevos III
563;12A;Rachid;SPORTING;BASE;Nuevos I
564;12B;Pablo Pérez;SPORTING;BASE;Nuevos I
565;13A;Dani Ndi;SPORTING;BASE;Nuevos I
566;13B;Carmona;SPORTING;BASE;Nuevos I
567;14;Víctor Rodríguez;SPORTING;BASE;Nuevos III
568;15;Castro;SPORTING;BASE;Nuevos I
569;16;Duje Cop;SPORTING;BASE;Nuevos II
570;4BIS;Babin;SPORTING;BASE;Nuevos III
571;3BIS;Douglas;SPORTING;BASE;Nuevos IV
581;1;Ryan;VALENCIA CF;BASE;Nuevos I
582;2;Jaume;VALENCIA CF;BASE;Nuevos I
583;3;Cancelo;VALENCIA CF;BASE;Nuevos I
584;4;Mustafi;VALENCIA CF;BASE;Nuevos I
585;5;Abdenour;VALENCIA CF;BASE;Nuevos I
586;6;Rubén Vezo;VALENCIA CF;BASE;Nuevos II
587;7;Gayà;VALENCIA CF;BASE;Nuevos I
588;8;Siqueira;VALENCIA CF;BASE;Nuevos I
589;9A;Enzo Pérez;VALENCIA CF;BASE;Nuevos I
590;9B;Javi Fuego;VALENCIA CF;BASE;Nuevos I
